"Homolog > Gene 1 . Primary Identifier","Homolog > Gene 1 > Organism Name","Homolog > Gene 2 . Primary Identifier","Homolog > Gene 2 > Organism Name","Homolog > Relationship","Homolog > Gene 2 > Chromosome Location . End","Homolog > Gene 2 > Chromosome Location . Start","Homolog > Gene 1 > Chromosome Location . End","Homolog > Gene 1 > Chromosome Location . Start","Homolog > Gene 1 > Chromosome > Name","Homolog > Gene 2 > Chromosome > Name","Homolog > Gene 1 > Defline","Homolog > Gene 2 > Defline",
"AC155434.2_FG004","Z. mays","Sobic.002G422100","S. bicolor","one-to-one","76911440","76898518","173881429","173870270","7","Chr02","","",
"AC155434.2_FG005","Z. mays","Sobic.002G422000","S. bicolor","one-to-one","76898217","76893681","173863018","173860841","7","Chr02","","similar to Transfactor, putative, expressed",
"AC155434.2_FG006","Z. mays","Sobic.002G421900","S. bicolor","many-to-one","76885667","76882712","173849744","173848308","7","Chr02","","",
"AC155496.2_FG009","Z. mays","Sobic.001G065100","S. bicolor","one-to-one","4929160","4920979","4787374","4777614","5","Chr01","","similar to Cullin-4B, putative, expressed",
"AC155624.2_FG011","Z. mays","Sobic.001G512500","S. bicolor","one-to-one","70831560","70828173","8288645","8285569","1","Chr01","","similar to Putative uncharacterized protein",
"AC165171.2_FG002","Z. mays","Sobic.003G444000","S. bicolor","one-to-one","74232082","74229461","144779302","144777899","3","Chr03","","weakly similar to WRKY1",
"AC165178.2_FG004","Z. mays","Sobic.002G201000","S. bicolor","one-to-one","59065647","59063560","182074488","182073111","2","Chr02","","similar to Putative uncharacterized protein",
"AC166636.1_FG007","Z. mays","Sobic.001G474300","S. bicolor","one-to-one","67464256","67462544","19972363","19971519","1","Chr01","","similar to Expressed protein",
"AC166636.1_FG008","Z. mays","Sobic.001G474200","S. bicolor","one-to-one","67447580","67445203","19982658","19979839","1","Chr01","","similar to Ras-related protein Rab-6A, putative, expressed",
"AC166636.1_FG009","Z. mays","Sobic.001G474100","S. bicolor","one-to-one","67444169","67438835","19990325","19983969","1","Chr01","","weakly similar to Pumilio-family RNA binding repeat containing protein, expressed",
"AC177897.2_FG002","Z. mays","Sobic.001G151800","S. bicolor","one-to-one","12162282","12157079","260198235","260195858","1","Chr01","","",
"AC177897.2_FG022","Z. mays","Sobic.002G016400","S. bicolor","many-to-one","1475068","1473023","260114256","260112286","1","Chr02","","",
"AC177899.2_FG009","Z. mays","Sobic.001G001200","S. bicolor","one-to-one","112583","109886","300525797","300523677","1","Chr01","","similar to Os03g0861900 protein",
"AC177924.2_FG003","Z. mays","Sobic.006G051100","S. bicolor","one-to-one","38000283","37999194","71370833","71370498","2","Chr06","","",
"AC177926.2_FG003","Z. mays","Sobic.001G045500","S. bicolor","one-to-one","3361931","3360585","295677277","295676621","1","Chr01","","",
"AC177933.2_FG005","Z. mays","Sobic.009G140200","S. bicolor","many-to-one","49737458","49735614","89856696","89856371","2","Chr09","","",
"AC182482.3_FG003","Z. mays","Sobic.003G086300","S. bicolor","one-to-one","7473216","7465998","23020055","23016606","3","Chr03","","similar to Putative cation diffusion facilitator 9",
"AC182617.3_FG001","Z. mays","Sobic.008G133600","S. bicolor","one-to-one","48701745","48693981","127329589","127323462","3","Chr08","","similar to Putative diaminopimelate epimerase, chloroplast precursor",
"AC183950.2_FG005","Z. mays","Sobic.003G396300","S. bicolor","one-to-one","70666780","70664203","162769145","162767679","8","Chr03","","similar to P0497A05.20 protein",
"AC184112.4_FG010","Z. mays","Sobic.003G415000","S. bicolor","one-to-one","72170432","72169522","155710095","155709276","3","Chr03","","similar to Putative uncharacterized protein",
"AC184130.4_FG005","Z. mays","Sobic.004G062300","S. bicolor","one-to-one","5052283","5051255","235836465","235835572","4","Chr04","","weakly similar to Fasciclin-like protein FLA34",
"AC184794.2_FG003","Z. mays","Sobic.007G160900","S. bicolor","one-to-one","58301704","58297698","86470912","86469186","4","Chr07","","",
"AC184831.3_FG005","Z. mays","Sobic.004G023500","S. bicolor","many-to-one","1936570","1935701","239029484","239028639","4","Chr04","","Predicted protein",
"AC184831.3_FG008","Z. mays","Sobic.004G023500","S. bicolor","many-to-one","1936570","1935701","239101536","239100691","4","Chr04","","Predicted protein",
"AC184871.2_FG009","Z. mays","Sobic.001G261000","S. bicolor","many-to-many","32189849","32188141","273741620","273740134","1","Chr01","","",
"AC184871.2_FG009","Z. mays","Sobic.001G509400","S. bicolor","many-to-many","70542288","70540541","273741620","273740134","1","Chr01","","",
"AC185108.3_FG010","Z. mays","Sobic.002G360000","S. bicolor","one-to-one","72203456","72201613","162349464","162348607","7","Chr02","","",
"AC185108.3_FG011","Z. mays","Sobic.002G360100","S. bicolor","one-to-one","72208851","72207810","162353303","162352707","7","Chr02","","weakly similar to Putative uncharacterized protein",
"AC185126.3_FG006","Z. mays","Sobic.005G035400","S. bicolor","one-to-one","3202797","3202111","188230827","188230324","4","Chr05","","",
"AC185272.3_FG005","Z. mays","Sobic.006G097600","S. bicolor","many-to-one","47625278","47624359","72069741","72069133","4","Chr06","","",
"AC185300.4_FG002","Z. mays","Sobic.004G101300","S. bicolor","one-to-one","9343082","9341359","228550451","228549375","4","Chr04","","similar to Putative uncharacterized protein",
"AC185415.3_FG005","Z. mays","Sobic.002G290300","S. bicolor","one-to-one","66850603","66845132","198340527","198337078","2","Chr02","","similar to RRM-containing RNA-binding protein-like",
"AC185422.3_FG005","Z. mays","Sobic.004G302000","S. bicolor","one-to-one","63381419","63376690","149186585","149185261","4","Chr04","","",
"AC185443.3_FG004","Z. mays","Sobic.001G153000","S. bicolor","many-to-many","12258545","12254963","221860217","221857162","4","Chr01","","",
"AC185443.3_FG004","Z. mays","Sobic.002G265700","S. bicolor","many-to-many","65041690","65038796","221860217","221857162","4","Chr02","","",
"AC185443.3_FG004","Z. mays","Sobic.005G157500","S. bicolor","many-to-many","53377376","53375282","221860217","221857162","4","Chr05","","",
"AC185443.3_FG004","Z. mays","Sobic.007G145300","S. bicolor","many-to-many","56242172","56238100","221860217","221857162","4","Chr07","","",
"AC185443.3_FG004","Z. mays","Sobic.008G006500","S. bicolor","many-to-many","532903","529177","221860217","221857162","4","Chr08","","",
"AC185443.3_FG004","Z. mays","Sobic.008G030400","S. bicolor","many-to-many","2703896","2701611","221860217","221857162","4","Chr08","","",
"AC185443.3_FG004","Z. mays","Sobic.008G134200","S. bicolor","many-to-many","48831299","48828088","221860217","221857162","4","Chr08","","",
"AC185471.3_FG005","Z. mays","Sobic.004G248300","S. bicolor","one-to-one","58862058","58859976","166951631","166944655","4","Chr04","","similar to B0812A04.2 protein",
"AC185478.4_FG005","Z. mays","Sobic.004G234700","S. bicolor","one-to-one","57607540","57606710","181432974","181432210","4","Chr04","","Predicted protein",
"AC185611.3_FG001","Z. mays","Sobic.010G256300","S. bicolor","one-to-one","59237785","59237426","206839481","206839158","1","Chr10","","similar to Erythrocyte membrane protein 1-like",
"AC185623.4_FG012","Z. mays","Sobic.006G103500","S. bicolor","many-to-one","48255220","48253999","157674564","157673010","4","Chr06","","",
"AC185648.3_FG007","Z. mays","Sobic.004G171100","S. bicolor","many-to-one","51648314","51644945","174572276","174569687","4","Chr04","","similar to OSJNBa0035I04.2 protein",
"AC185655.3_FG004","Z. mays","Sobic.006G115400","S. bicolor","many-to-one","49229741","49225710","39921584","39920166","2","Chr06","","",
"AC185655.3_FG005","Z. mays","Sobic.006G115400","S. bicolor","many-to-one","49229741","49225710","39944500","39942983","2","Chr06","","",
"AC186147.3_FG008","Z. mays","Sobic.004G256400","S. bicolor","one-to-one","59543305","59541974","162940566","162939232","4","Chr04","","similar to Alpha-6-galactosyltransferase",
"AC186166.3_FG008","Z. mays","Sobic.001G025200","S. bicolor","one-to-one","1964928","1964284","1820108","1818438","5","Chr01","","",
"AC186231.4_FG002","Z. mays","Sobic.002G014500","S. bicolor","one-to-one","1287436","1285922","202662280","202661441","1","Chr02","","similar to Slr1753 protein",
"AC186287.7_FG005","Z. mays","Sobic.004G330100","S. bicolor","one-to-one","65698044","65695400","174026190","174024718","4","Chr04","","weakly similar to Putative uncharacterized protein OJ1057_G07.1",
"AC186323.3_FG008","Z. mays","Sobic.004G326700","S. bicolor","one-to-one","65471885","65471183","174880336","174880088","4","Chr04","","",
"AC186493.4_FG002","Z. mays","Sobic.005G211600","S. bicolor","many-to-many","60180581","60176739","154299237","154297381","7","Chr05","","Predicted protein",
"AC186493.4_FG002","Z. mays","Sobic.009G152500","S. bicolor","many-to-many","50918677","50916416","154299237","154297381","7","Chr09","","",
"AC186493.4_FG002","Z. mays","Sobic.010G102400","S. bicolor","many-to-many","9486048","9482941","154299237","154297381","7","Chr10","","",
"AC186577.3_FG006","Z. mays","Sobic.007G008000","S. bicolor","one-to-one","712484","711153","1996982","1996260","6","Chr07","","similar to Os08g0108100 protein",
"AC186592.3_FG002","Z. mays","Sobic.K021000","S. bicolor","many-to-one","572877","571261","75075280","75072665","6","super_10","","",
"AC186602.4_FG003","Z. mays","Sobic.001G289300","S. bicolor","one-to-one","49410764","49409619","99673380","99672341","1","Chr01","","weakly similar to Putative uncharacterized protein OSJNBa0003O19.11",
"AC186603.6_FG003","Z. mays","Sobic.002G089700","S. bicolor","one-to-one","9405866","9404331","168713762","168712314","1","Chr02","","similar to Putative uncharacterized protein",
"AC186743.4_FG003","Z. mays","Sobic.005G020500","S. bicolor","one-to-one","1915339","1915121","185894327","185893992","4","Chr05","","",
"AC186783.3_FG002","Z. mays","Sobic.006G103500","S. bicolor","many-to-one","48255220","48253999","181491464","181490763","1","Chr06","","",
"AC187098.4_FG011","Z. mays","Sobic.002G430900","S. bicolor","many-to-one","77617047","77614521","174883538","174881880","7","Chr02","","similar to PWWP domain protein-like",
"AC187157.4_FG001","Z. mays","Sobic.003G028000","S. bicolor","one-to-one","2480471","2479206","22691545","22690444","8","Chr03","","similar to AP2 domain transcription factor TaDREB2",
"AC187157.4_FG002","Z. mays","Sobic.003G028100","S. bicolor","one-to-one","2488717","2485165","22687343","22683481","8","Chr03","","similar to Putative uncharacterized protein B1015E06.9",
"AC187157.4_FG005","Z. mays","Sobic.003G028300","S. bicolor","one-to-one","2504575","2499698","22650386","22645969","8","Chr03","","similar to Class III HD-Zip protein 5",
"AC187243.3_FG005","Z. mays","Sobic.009G200300","S. bicolor","one-to-one","55028782","55027483","123144552","123144001","8","Chr09","","",
"AC187406.4_FG001","Z. mays","Sobic.010G078600","S. bicolor","one-to-one","6508956","6507155","9154267","9154025","9","Chr10","","",
"AC187551.3_FG002","Z. mays","Sobic.009G105200","S. bicolor","one-to-one","42827792","42825819","93951006","93949093","8","Chr09","","similar to Putative uncharacterized protein OSJNBa0036C12.7",
"AC187560.5_FG003","Z. mays","Sobic.002G036100","S. bicolor","one-to-one","3403245","3399816","5532240","5531911","7","Chr02","","Predicted protein",
"AC187782.4_FG009","Z. mays","Sobic.003G203200","S. bicolor","one-to-one","53321558","53319991","140022813","140022445","8","Chr03","","",
"AC187789.3_FG001","Z. mays","Sobic.010G102200","S. bicolor","one-to-one","9466505","9466251","30460007","30459750","9","Chr10","","",
"AC187792.3_FG008","Z. mays","Sobic.003G147200","S. bicolor","one-to-one","15314158","15313218","118864865","118863458","10","Chr03","","",
"AC187809.3_FG005","Z. mays","Sobic.001G028900","S. bicolor","many-to-many","2255597","2250306","44120488","44118734","9","Chr01","","",
"AC187809.3_FG005","Z. mays","Sobic.009G245200","S. bicolor","many-to-many","58098243","58095347","44120488","44118734","9","Chr09","","weakly similar to Ulp1 protease family, C-terminal catalytic domain containing protein",
"AC187843.3_FG001","Z. mays","Sobic.001G030800","S. bicolor","many-to-many","2369862","2368492","7374956","7372885","10","Chr01","","",
"AC187843.3_FG001","Z. mays","Sobic.001G031000","S. bicolor","many-to-many","2378379","2376896","7374956","7372885","10","Chr01","","Predicted protein",
"AC187843.3_FG006","Z. mays","Sobic.008G045100","S. bicolor","one-to-one","4418201","4417287","7445057","7444587","10","Chr08","","",
"AC187843.3_FG010","Z. mays","Sobic.001G030800","S. bicolor","many-to-many","2369862","2368492","7353040","7351910","10","Chr01","","",
"AC187843.3_FG010","Z. mays","Sobic.001G031000","S. bicolor","many-to-many","2378379","2376896","7353040","7351910","10","Chr01","","Predicted protein",
"AC187887.3_FG008","Z. mays","Sobic.002G038000","S. bicolor","many-to-many","3739761","3737831","132417223","132416643","6","Chr02","","",
"AC187887.3_FG008","Z. mays","Sobic.003G100300","S. bicolor","many-to-many","8812416","8811172","132417223","132416643","6","Chr03","","",
"AC187887.3_FG008","Z. mays","Sobic.003G190700","S. bicolor","many-to-many","51258275","51254244","132417223","132416643","6","Chr03","","",
"AC187887.3_FG008","Z. mays","Sobic.004G052700","S. bicolor","many-to-many","4301019","4300048","132417223","132416643","6","Chr04","","",
"AC187887.3_FG008","Z. mays","Sobic.006G064300","S. bicolor","many-to-many","42354472","42353450","132417223","132416643","6","Chr06","","",
"AC187887.3_FG008","Z. mays","Sobic.006G250600","S. bicolor","many-to-many","59870612","59869978","132417223","132416643","6","Chr06","","",
"AC187887.3_FG008","Z. mays","Sobic.007G087500","S. bicolor","many-to-many","11721278","11719302","132417223","132416643","6","Chr07","","",
"AC187887.3_FG008","Z. mays","Sobic.009G125700","S. bicolor","many-to-many","47923640","47922241","132417223","132416643","6","Chr09","","",
"AC187891.3_FG006","Z. mays","Sobic.008G042200","S. bicolor","one-to-one","4097185","4096376","6407469","6406678","10","Chr08","","similar to Uncharacterized plant-specific domain TIGR01568 family protein, expressed",
"AC187896.3_FG006","Z. mays","Sobic.009G196400","S. bicolor","one-to-one","54734491","54733707","158818521","158818237","6","Chr09","","",
"AC187899.3_FG002","Z. mays","Sobic.007G044000","S. bicolor","one-to-one","4410440","4409733","79691892","79691286","10","Chr07","","",
"AC188003.3_FG012","Z. mays","Sobic.005G074600","S. bicolor","one-to-one","9129975","9129187","1082257","1081800","4","Chr05","","",
"AC188023.3_FG005","Z. mays","Sobic.009G237500","S. bicolor","one-to-one","57581544","57579626","165518066","165516914","6","Chr09","","similar to Putative uncharacterized protein",
"AC188027.3_FG005","Z. mays","Sobic.001G261000","S. bicolor","many-to-many","32189849","32188141","74986","74528","4","Chr01","","",
"AC188027.3_FG005","Z. mays","Sobic.001G509400","S. bicolor","many-to-many","70542288","70540541","74986","74528","4","Chr01","","",
"AC188583.4_FG003","Z. mays","Sobic.010G076100","S. bicolor","one-to-many","6189377","6187158","10534374","10533794","9","Chr10","","",
"AC188583.4_FG003","Z. mays","Sobic.010G076200","S. bicolor","one-to-many","6221545","6216099","10534374","10533794","9","Chr10","","",
"AC188718.3_FG005","Z. mays","Sobic.003G434300","S. bicolor","many-to-one","73629716","73628423","125619728","125617706","7","Chr03","","",
"AC188718.3_FG011","Z. mays","Sobic.003G434300","S. bicolor","many-to-one","73629716","73628423","125660635","125659537","7","Chr03","","",
"AC188718.3_FG015","Z. mays","Sobic.003G434300","S. bicolor","many-to-one","73629716","73628423","125572244","125570037","7","Chr03","","",
"AC188727.3_FG003","Z. mays","Sobic.001G153000","S. bicolor","many-to-many","12258545","12254963","6374644","6371877","9","Chr01","","",
"AC188727.3_FG003","Z. mays","Sobic.002G265700","S. bicolor","many-to-many","65041690","65038796","6374644","6371877","9","Chr02","","",
"AC188727.3_FG003","Z. mays","Sobic.005G157500","S. bicolor","many-to-many","53377376","53375282","6374644","6371877","9","Chr05","","",
"AC188727.3_FG003","Z. mays","Sobic.007G145300","S. bicolor","many-to-many","56242172","56238100","6374644","6371877","9","Chr07","","",
"AC188727.3_FG003","Z. mays","Sobic.008G006500","S. bicolor","many-to-many","532903","529177","6374644","6371877","9","Chr08","","",
"AC188727.3_FG003","Z. mays","Sobic.008G030400","S. bicolor","many-to-many","2703896","2701611","6374644","6371877","9","Chr08","","",
"AC188727.3_FG003","Z. mays","Sobic.008G134200","S. bicolor","many-to-many","48831299","48828088","6374644","6371877","9","Chr08","","",
"AC188838.3_FG005","Z. mays","Sobic.009G148700","S. bicolor","one-to-one","50622695","50618238","150854140","150852509","6","Chr09","","similar to Putative uncharacterized protein",
"AC189750.4_FG004","Z. mays","Sobic.002G314300","S. bicolor","one-to-one","68764271","68760780","152391232","152388543","7","Chr02","","similar to Adenosine 5'-phosphosulfate reductase 2",
"AC189771.3_FG001","Z. mays","Sobic.004G025500","S. bicolor","one-to-one","2066925","2065892","73325518","73325084","5","Chr04","","",
"AC189783.3_FG004","Z. mays","Sobic.001G261000","S. bicolor","many-to-many","32189849","32188141","82482453","82481749","1","Chr01","","",
"AC189783.3_FG004","Z. mays","Sobic.001G509400","S. bicolor","many-to-many","70542288","70540541","82482453","82481749","1","Chr01","","",
"AC190480.1_FG007","Z. mays","Sobic.005G209800","S. bicolor","one-to-one","60053807","60050484","231588660","231587068","2","Chr05","","similar to Putative nodule-specific protein",
"AC190498.1_FG007","Z. mays","Sobic.001G130900","S. bicolor","one-to-one","10257383","10254828","262573175","262572553","1","Chr01","","",
"AC190537.2_FG002","Z. mays","Sobic.K021000","S. bicolor","many-to-one","572877","571261","67966647","67963906","4","super_10","","",
"AC190582.4_FG011","Z. mays","Sobic.004G058100","S. bicolor","one-to-many","4685738","4683954","258057501","258057064","1","Chr04","","",
"AC190582.4_FG011","Z. mays","Sobic.004G313000","S. bicolor","one-to-many","64300716","64298566","258057501","258057064","1","Chr04","","",
"AC190587.3_FG005","Z. mays","Sobic.K021000","S. bicolor","many-to-one","572877","571261","114056982","114054273","9","super_10","","",
"AC190609.3_FG002","Z. mays","Sobic.007G184600","S. bicolor","one-to-one","60509710","60507521","194520236","194518163","4","Chr07","","similar to 60S ribosomal protein L38",
"AC190609.3_FG004","Z. mays","Sobic.007G184300","S. bicolor","one-to-one","60496628","60490006","194589029","194583416","4","Chr07","","similar to OSIGBa0137O04.7 protein",
"AC190609.3_FG005","Z. mays","Sobic.007G185400","S. bicolor","one-to-one","60576582","60576142","194495268","194494861","4","Chr07","","similar to Putative uncharacterized protein",
"AC190623.3_FG001","Z. mays","Sobic.003G313000","S. bicolor","one-to-one","64147738","64146872","192097671","192096912","3","Chr03","","similar to Putative uncharacterized protein",
"AC190623.3_FG002","Z. mays","Sobic.003G312600","S. bicolor","one-to-one","64123182","64119402","192106240","192102986","3","Chr03","","Predicted protein",
"AC190628.4_FG007","Z. mays","Sobic.004G236400","S. bicolor","one-to-many","57745211","57733185","181823634","181815146","4","Chr04","","similar to Putative uncharacterized protein",
"AC190628.4_FG007","Z. mays","Sobic.010G091400","S. bicolor","one-to-many","7973373","7940467","181823634","181815146","4","Chr10","","",
"AC190636.3_FG005","Z. mays","Sobic.005G080400","S. bicolor","one-to-one","10659637","10657869","815211","814117","5","Chr05","","similar to Putative uncharacterized protein",
"AC190688.3_FG006","Z. mays","Sobic.003G340500","S. bicolor","one-to-one","66371686","66368210","169688260","169682506","8","Chr03","","Predicted protein",
"AC190716.3_FG005","Z. mays","Sobic.002G196700","S. bicolor","many-to-many","58543570","58543238","8762484","8762170","5","Chr02","","",
"AC190716.3_FG005","Z. mays","Sobic.003G183100","S. bicolor","many-to-many","48617043","48616483","8762484","8762170","5","Chr03","","",
"AC190716.3_FG005","Z. mays","Sobic.008G169900","S. bicolor","many-to-many","53048638","53048306","8762484","8762170","5","Chr08","","",
"AC190750.2_FG014","Z. mays","Sobic.002G123900","S. bicolor","many-to-many","16514187","16510252","3006559","3002400","2","Chr02","","",
"AC190750.2_FG014","Z. mays","Sobic.002G124200","S. bicolor","many-to-many","16609664","16605477","3006559","3002400","2","Chr02","","weakly similar to Putative uncharacterized protein P0681F10.18",
"AC190750.2_FG014","Z. mays","Sobic.007G187900","S. bicolor","many-to-many","60849237","60845278","3006559","3002400","2","Chr07","","weakly similar to Putative uncharacterized protein P0681F10.18",
"AC190750.2_FG014","Z. mays","Sobic.010G086900","S. bicolor","many-to-many","7409731","7406903","3006559","3002400","2","Chr10","","Predicted protein",
"AC190752.2_FG007","Z. mays","Sobic.005G024500","S. bicolor","many-to-one","2214598","2212674","142907323","142904216","10","Chr05","","Predicted protein",
"AC190757.3_FG001","Z. mays","Sobic.001G153000","S. bicolor","many-to-many","12258545","12254963","153370790","153367740","9","Chr01","","",
"AC190757.3_FG001","Z. mays","Sobic.002G265700","S. bicolor","many-to-many","65041690","65038796","153370790","153367740","9","Chr02","","",
"AC190757.3_FG001","Z. mays","Sobic.005G157500","S. bicolor","many-to-many","53377376","53375282","153370790","153367740","9","Chr05","","",
"AC190757.3_FG001","Z. mays","Sobic.007G145300","S. bicolor","many-to-many","56242172","56238100","153370790","153367740","9","Chr07","","",
"AC190757.3_FG001","Z. mays","Sobic.008G006500","S. bicolor","many-to-many","532903","529177","153370790","153367740","9","Chr08","","",
"AC190757.3_FG001","Z. mays","Sobic.008G030400","S. bicolor","many-to-many","2703896","2701611","153370790","153367740","9","Chr08","","",
"AC190757.3_FG001","Z. mays","Sobic.008G134200","S. bicolor","many-to-many","48831299","48828088","153370790","153367740","9","Chr08","","",
"AC190771.2_FG003","Z. mays","Sobic.002G351800","S. bicolor","one-to-many","71513329","71512827","188513409","188512948","2","Chr02","","",
"AC190771.2_FG003","Z. mays","Sobic.003G083100","S. bicolor","one-to-many","7126750","7126253","188513409","188512948","2","Chr03","","",
"AC190858.3_FG004","Z. mays","Sobic.002G212900","S. bicolor","many-to-one","60481258","60477637","59295337","59293356","2","Chr02","","Predicted protein",
"AC190885.4_FG006","Z. mays","Sobic.005G016500","S. bicolor","many-to-one","1467492","1466023","185125676","185124948","4","Chr05","","similar to Eukaryotic translation initiation factor 2B family protein, putative, expressed",
"AC190932.3_FG008","Z. mays","Sobic.002G212900","S. bicolor","many-to-one","60481258","60477637","175460019","175458939","5","Chr02","","Predicted protein",
"AC190933.3_FG004","Z. mays","Sobic.003G067800","S. bicolor","one-to-one","5753104","5751634","16624527","16622724","3","Chr03","","similar to Universal stress protein",
"AC190999.2_FG004","Z. mays","Sobic.002G214700","S. bicolor","one-to-one","60659851","60653590","184594798","184584417","2","Chr02","","similar to Os09g0439000 protein",
"AC191015.2_FG004","Z. mays","Sobic.001G153000","S. bicolor","many-to-many","12258545","12254963","225484232","225480506","2","Chr01","","",
